mouse,group,allo_rux_start,allo_rux_end,bmt_date,bmt_rux_start,bmt_rux_end,engrafted,bmt_rux,survival,perc_10,perc_40,perc_160,mfi_10,mfi_40,mfi_160
12L,7,0,4,5/26/2023,-14,7,no,yes,9,99.9,95.5,67.2,156727,80813,19924
12R,7,0,4,5/26/2023,-14,7,no,yes,9,93.1,83.8,55.6,99429,53958,13818
12RL,7,0,4,5/26/2023,-14,7,no,yes,9,97.2,89.8,70.8,149393,78614,24302
13L,8,none,none,5/26/2023,none,none,no,yes,9,97.8,91.7,72.6,125838,78614,29460
13R,8,none,none,5/26/2023,none,none,no,yes,9,96.7,89.4,65.6,93432,49403,17670
14L,3,-2,2,5/26/2023,-14,7,no,yes,9,98.6,91.5,67.8,117766,66306,20076
14R,3,-2,2,5/26/2023,-14,7,no,yes,7,99.9,97.4,85.2,182831,99739,40940
14RL,3,-2,2,5/26/2023,-14,7,no,yes,7,99.8,94.9,77.8,153749,88092,35442
15L,4,-2,7,4/26/2023,none,none,yes,no,96,5.94,2.46,1.56,2833,1269,741
15R,4,-2,7,4/26/2023,none,none,yes,no,35,38,11.8,3.52,8932,3427,1269
15RL,4,-2,7,4/26/2023,none,none,yes,no,96,66,26,8.03,16578,6217,2126
16L,6,-5,7,5/26/2023,-14,14,yes,yes,66,86.1,54.5,32.3,49693,12763,7567
16R,6,-5,7,5/26/2023,-14,14,no,yes,10,92.4,77.1,47,80073,32876,10371
16RL,6,-5,7,5/26/2023,-14,14,yes,yes,66,57.6,19.2,6.75,13340,5805,3417
17L,5,0,7,4/26/2023,none,none,no,no,14,50.1,11.5,2.63,11456,4993,2939
17R,5,0,7,4/26/2023,none,none,yes,no,96,7.56,1.94,1.2,2423,2862,2358
17RL,5,0,7,4/26/2023,none,none,yes,no,96,5.78,0.58,0.74,2117,2098,2256
18L,2,-1,2,4/26/2023,none,none,no,no,6,96.7,90.1,69.2,101624,51022,18757
18R,2,-1,2,4/26/2023,none,none,no,no,14,99.6,94.3,85.8,117766,69173,39563
18RL,2,-1,2,4/26/2023,none,none,no,no,6,94.8,83.9,58.7,87550,37809,14114
19L,1,-1,1,4/26/2023,none,none,no,no,14,99.8,95.3,86.1,140616,69804,36655
19R,1,-1,1,4/26/2023,none,none,no,no,14,99.3,92.8,73.7,150350,63188,23366
19RL,1,-1,1,4/26/2023,none,none,no,no,14,99.8,93.6,69.6,113758,47842,18710
20L,8,none,none,5/26/2023,none,none,no,yes,10,95.2,87.8,57.6,82570,48687,13949
20R,8,none,none,5/26/2023,none,none,no,yes,9,97.3,83.9,57.3,85415,33613,13497
